run_id,workload,workload_mode,round,duration_us
20260714_105754,mkdir_rmdir,branch,15,1102309
20260714_105754,mkdir_rmdir,branch,16,1123247
20260714_105754,mkdir_rmdir,branch,17,1083791
20260714_105754,mkdir_rmdir,branch,18,1066571
20260714_105754,mkdir_rmdir,branch,19,1085323
20260714_105754,mkdir_rmdir,branch,20,1092689
20260714_105754,pipe_comm,branch,1,359901
20260714_105754,pipe_comm,branch,2,364038
20260714_105754,pipe_comm,branch,3,365510
20260714_105754,pipe_comm,branch,4,363052
20260714_105754,pipe_comm,branch,5,363170
20260714_105754,pipe_comm,branch,6,362097
20260714_105754,pipe_comm,branch,7,362506
20260714_105754,pipe_comm,branch,8,347732
20260714_105754,pipe_comm,branch,9,349624
20260714_105754,pipe_comm,branch,10,352249
20260714_105754,pipe_comm,branch,11,365003
20260714_105754,pipe_comm,branch,12,362024
20260714_105754,pipe_comm,branch,13,364466
20260714_105754,pipe_comm,branch,14,361437
20260714_105754,pipe_comm,branch,15,361008
20260714_105754,pipe_comm,branch,16,365574
20260714_105754,pipe_comm,branch,17,369164
20260714_105754,pipe_comm,branch,18,367514
20260714_105754,pipe_comm,branch,19,367830
20260714_105754,pipe_comm,branch,20,365046
20260714_105754,fork_wait,branch,1,184777
20260714_105754,fork_wait,branch,2,186672
20260714_105754,fork_wait,branch,3,186253
20260714_105754,fork_wait,branch,4,186912
20260714_105754,fork_wait,branch,5,184830
20260714_105754,fork_wait,branch,6,183164
20260714_105754,fork_wait,branch,7,183371
20260714_105754,fork_wait,branch,8,186110
20260714_105754,fork_wait,branch,9,185977
20260714_105754,fork_wait,branch,10,187572
20260714_105754,fork_wait,branch,11,189492
20260714_105754,fork_wait,branch,12,186294
20260714_105754,fork_wait,branch,13,187737
20260714_105754,fork_wait,branch,14,189182
20260714_105754,fork_wait,branch,15,189343
20260714_105754,fork_wait,branch,16,190551
20260714_105754,fork_wait,branch,17,190224
20260714_105754,fork_wait,branch,18,187712
20260714_105754,fork_wait,branch,19,185970
20260714_105754,fork_wait,branch,20,186548
20260714_105754,fd_dup_close,branch,1,184338
20260714_105754,fd_dup_close,branch,2,184963
20260714_105754,fd_dup_close,branch,3,183890
20260714_105754,fd_dup_close,branch,4,185393
20260714_105754,fd_dup_close,branch,5,188545
20260714_105754,fd_dup_close,branch,6,185350
20260714_105754,fd_dup_close,branch,7,178249
20260714_105754,fd_dup_close,branch,8,178744
20260714_105754,fd_dup_close,branch,9,180977
20260714_105754,fd_dup_close,branch,10,181530
20260714_105754,fd_dup_close,branch,11,186004
20260714_105754,fd_dup_close,branch,12,186508
20260714_105754,fd_dup_close,branch,13,185322
20260714_105754,fd_dup_close,branch,14,185734
20260714_105754,fd_dup_close,branch,15,185708
20260714_105754,fd_dup_close,branch,16,186372
20260714_105754,fd_dup_close,branch,17,185125
20260714_105754,fd_dup_close,branch,18,187747
20260714_105754,fd_dup_close,branch,19,187258
20260714_105754,fd_dup_close,branch,20,185598
20260714_110113,create_delete,static,1,541284
20260714_110113,create_delete,static,2,570019
20260714_110113,create_delete,static,3,566448
20260714_110113,create_delete,static,4,570926
20260714_110113,create_delete,static,5,568757
20260714_110113,create_delete,static,6,568379
20260714_110113,create_delete,static,7,581433
20260714_110113,create_delete,static,8,573956
20260714_110113,create_delete,static,9,575623
20260714_110113,create_delete,static,10,577158
20260714_110113,create_delete,static,11,563946
20260714_110113,create_delete,static,12,577138
20260714_110113,create_delete,static,13,549707
20260714_110113,create_delete,static,14,553280
20260714_110113,create_delete,static,15,550567
20260714_110113,create_delete,static,16,549920
20260714_110113,create_delete,static,17,557692
20260714_110113,create_delete,static,18,555192
20260714_110113,create_delete,static,19,570773
20260714_110113,create_delete,static,20,568049
20260714_110113,rename,static,1,1638214
20260714_110113,rename,static,2,1663402
20260714_110113,rename,static,3,1647900
20260714_110113,rename,static,4,1591728
20260714_110113,rename,static,5,1633965
20260714_110113,rename,static,6,1670684
20260714_110113,rename,static,7,1677429
20260714_110113,rename,static,8,1599041
20260714_110113,rename,static,9,1591503
20260714_110113,rename,static,10,1598234
20260714_110113,rename,static,11,1662239
20260714_110113,rename,static,12,1688259
20260714_110113,rename,static,13,1611304
20260714_110113,rename,static,14,1659169
20260714_110113,rename,static,15,1663335
20260714_110113,rename,static,16,1688096
20260714_110113,rename,static,17,1682881
20260714_110113,rename,static,18,1680306
20260714_110113,rename,static,19,1624873
20260714_110113,rename,static,20,1599578
20260714_110113,mkdir_rmdir,static,1,1090254
20260714_110113,mkdir_rmdir,static,2,1098262
20260714_110113,mkdir_rmdir,static,3,1107752
20260714_110113,mkdir_rmdir,static,4,1126914
20260714_110113,mkdir_rmdir,static,5,1128321
20260714_110113,mkdir_rmdir,static,6,1109567
20260714_110113,mkdir_rmdir,static,7,1095945
20260714_110113,mkdir_rmdir,static,8,1081056
20260714_110113,mkdir_rmdir,static,9,1097603
20260714_110113,mkdir_rmdir,static,10,1101073
20260714_110113,mkdir_rmdir,static,11,1099282
20260714_110113,mkdir_rmdir,static,12,1100933
20260714_110113,mkdir_rmdir,static,13,1074924
20260714_110113,mkdir_rmdir,static,14,1099523
20260714_110113,mkdir_rmdir,static,15,1114728
20260714_110113,mkdir_rmdir,static,16,1109364
20260714_110113,mkdir_rmdir,static,17,1070178
20260714_110113,mkdir_rmdir,static,18,1077292
20260714_110113,mkdir_rmdir,static,19,1055307
20260714_110113,mkdir_rmdir,static,20,1074751
20260714_110113,pipe_comm,static,1,357790
20260714_110113,pipe_comm,static,2,361134
20260714_110113,pipe_comm,static,3,361088
20260714_110113,pipe_comm,static,4,361625
20260714_110113,pipe_comm,static,5,340486
20260714_110113,pipe_comm,static,6,346889
20260714_110113,pipe_comm,static,7,356241
20260714_110113,pipe_comm,static,8,356014
20260714_110113,pipe_comm,static,9,350725
20260714_110113,pipe_comm,static,10,353736
20260714_110113,pipe_comm,static,11,352026
20260714_110113,pipe_comm,static,12,350595
20260714_110113,pipe_comm,static,13,355348
20260714_110113,pipe_comm,static,14,351990
20260714_110113,pipe_comm,static,15,351103
20260714_110113,pipe_comm,static,16,351356
20260714_110113,pipe_comm,static,17,352680
20260714_110113,pipe_comm,static,18,354261
20260714_110113,pipe_comm,static,19,357254
20260714_110113,pipe_comm,static,20,360249
20260714_110113,fork_wait,static,1,184439
20260714_110113,fork_wait,static,2,179086
20260714_110113,fork_wait,static,3,180689
20260714_110113,fork_wait,static,4,185188
20260714_110113,fork_wait,static,5,191880
20260714_110113,fork_wait,static,6,191871
20260714_110113,fork_wait,static,7,190736
20260714_110113,fork_wait,static,8,187998
20260714_110113,fork_wait,static,9,186206
20260714_110113,fork_wait,static,10,186216
20260714_110113,fork_wait,static,11,185743
20260714_110113,fork_wait,static,12,186431
20260714_110113,fork_wait,static,13,186998
20260714_110113,fork_wait,static,14,187565
20260714_110113,fork_wait,static,15,186631
20260714_110113,fork_wait,static,16,191541
20260714_110113,fork_wait,static,17,188263
20260714_110113,fork_wait,static,18,187489
20260714_110113,fork_wait,static,19,186056
20260714_110113,fork_wait,static,20,187582
20260714_110113,fd_dup_close,static,1,182812
20260714_110113,fd_dup_close,static,2,173700
20260714_110113,fd_dup_close,static,3,180156
20260714_110113,fd_dup_close,static,4,181227
20260714_110113,fd_dup_close,static,5,179644
20260714_110113,fd_dup_close,static,6,179700
20260714_110113,fd_dup_close,static,7,179863
20260714_110113,fd_dup_close,static,8,179925
20260714_110113,fd_dup_close,static,9,179545
20260714_110113,fd_dup_close,static,10,179520
20260714_110113,fd_dup_close,static,11,180251
20260714_110113,fd_dup_close,static,12,180518
20260714_110113,fd_dup_close,static,13,180107
20260714_110113,fd_dup_close,static,14,179871
20260714_110113,fd_dup_close,static,15,182832
20260714_110113,fd_dup_close,static,16,179798
20260714_110113,fd_dup_close,static,17,182355
20260714_110113,fd_dup_close,static,18,184265
20260714_110113,fd_dup_close,static,19,186327
20260714_110113,fd_dup_close,static,20,187750
